[0.012, -0.044, 0.198, 47.962, 10.442, -165.209]   ===>   [0.026, 0.012, -0.164],  actual: [0.026, 0.012, -0.165]  (mse: 0.000000)
[-0.007, -0.017, 0.186, -14.969, 18.823, -148.495]   ===>   [0.043, 0.038, -0.166],  actual: [0.042, 0.039, -0.165]  (mse: 0.000001)
[-0.031, -0.032, 0.179, -64.264, 5.011, -156.831]   ===>   [0.069, 0.027, -0.169],  actual: [0.069, 0.027, -0.168]  (mse: 0.000002)
[-0.003, -0.022, 0.189, 56.334, -6.169, -171.555]   ===>   [0.038, 0.032, -0.166],  actual: [0.037, 0.032, -0.166]  (mse: 0.000001)
[-0.014, -0.025, 0.165, -35.132, 5.044, -164.759]   ===>   [0.054, 0.029, -0.168],  actual: [0.053, 0.030, -0.168]  (mse: 0.000002)
[-0.009, -0.012, 0.170, -44.567, 15.971, -154.093]   ===>   [0.046, 0.043, -0.166],  actual: [0.046, 0.043, -0.166]  (mse: 0.000001)
[-0.027, -0.015, 0.189, 15.407, 3.552, -154.898]   ===>   [0.063, 0.043, -0.169],  actual: [0.062, 0.043, -0.169]  (mse: 0.000001)
[0.023, -0.021, 0.189, -77.116, -8.804, -175.782]   ===>   [0.012, 0.033, -0.163],  actual: [0.011, 0.034, -0.164]  (mse: 0.000002)
[-0.011, -0.039, 0.181, 12.695, -2.841, -172.731]   ===>   [0.049, 0.017, -0.167],  actual: [0.048, 0.017, -0.167]  (mse: 0.000001)
[0.004, -0.029, 0.192, -44.306, 16.032, -148.201]   ===>   [0.031, 0.027, -0.165],  actual: [0.031, 0.026, -0.165]  (mse: 0.000000)
[0.011, -0.041, 0.195, 52.798, -5.358, -165.229]   ===>   [0.027, 0.013, -0.164],  actual: [0.028, 0.014, -0.164]  (mse: 0.000001)
[0.026, -0.035, 0.189, 5.968, 12.006, -163.635]   ===>   [0.011, 0.016, -0.161],  actual: [0.011, 0.017, -0.161]  (mse: 0.000001)
[-0.029, -0.042, 0.186, 62.022, -6.900, -178.167]   ===>   [0.068, 0.017, -0.168],  actual: [0.067, 0.017, -0.170]  (mse: 0.000004)
[-0.031, -0.008, 0.189, -55.934, 17.650, -168.302]   ===>   [0.067, 0.052, -0.169],  actual: [0.067, 0.053, -0.169]  (mse: 0.000001)
[0.019, -0.021, 0.187, 21.151, 13.934, -151.975]   ===>   [0.016, 0.030, -0.163],  actual: [0.016, 0.030, -0.163]  (mse: 0.000000)
[0.007, -0.018, 0.174, 0.907, 3.884, -161.648]   ===>   [0.028, 0.035, -0.166],  actual: [0.027, 0.035, -0.165]  (mse: 0.000001)
[0.011, -0.010, 0.189, 39.425, -5.563, -161.510]   ===>   [0.023, 0.043, -0.166],  actual: [0.021, 0.044, -0.164]  (mse: 0.000005)
[0.016, -0.020, 0.189, -30.025, -0.290, -156.024]   ===>   [0.019, 0.033, -0.165],  actual: [0.017, 0.035, -0.164]  (mse: 0.000009)
[0.015, -0.036, 0.192, 55.929, 1.955, -176.470]   ===>   [0.021, 0.019, -0.162],  actual: [0.021, 0.019, -0.163]  (mse: 0.000000)
[-0.008, -0.027, 0.181, 14.987, 18.345, -152.481]   ===>   [0.047, 0.028, -0.166],  actual: [0.047, 0.028, -0.166]  (mse: 0.000000)
[-0.002, -0.032, 0.192, 89.603, 11.423, -175.787]   ===>   [0.038, 0.024, -0.166],  actual: [0.038, 0.024, -0.166]  (mse: 0.000000)
[0.013, -0.037, 0.187, 76.084, 8.954, -170.004]   ===>   [0.024, 0.016, -0.163],  actual: [0.024, 0.017, -0.163]  (mse: 0.000000)
[-0.018, -0.002, 0.179, -53.324, 26.334, -160.656]   ===>   [0.054, 0.055, -0.168],  actual: [0.054, 0.055, -0.167]  (mse: 0.000001)
[-0.034, 0.004, 0.189, -84.427, 20.590, -157.684]   ===>   [0.067, 0.063, -0.170],  actual: [0.066, 0.064, -0.169]  (mse: 0.000005)
[0.017, -0.028, 0.187, -89.185, 3.019, -172.765]   ===>   [0.019, 0.026, -0.163],  actual: [0.019, 0.027, -0.162]  (mse: 0.000002)
[-0.032, -0.021, 0.192, -80.450, 13.004, -174.287]   ===>   [0.069, 0.039, -0.169],  actual: [0.069, 0.039, -0.169]  (mse: 0.000001)
[0.022, -0.042, 0.186, -74.478, 18.363, -164.151]   ===>   [0.016, 0.011, -0.161],  actual: [0.016, 0.011, -0.161]  (mse: 0.000001)
[0.002, -0.024, 0.189, -88.493, 12.772, -170.489]   ===>   [0.034, 0.032, -0.166],  actual: [0.035, 0.033, -0.166]  (mse: 0.000001)
[0.000, -0.041, 0.192, 52.316, -2.401, -170.843]   ===>   [0.037, 0.015, -0.165],  actual: [0.037, 0.015, -0.166]  (mse: 0.000000)
[-0.001, -0.013, 0.179, -16.911, -6.752, -160.921]   ===>   [0.035, 0.043, -0.165],  actual: [0.034, 0.042, -0.166]  (mse: 0.000001)
[-0.007, -0.009, 0.183, 16.668, -5.114, -156.540]   ===>   [0.041, 0.046, -0.167],  actual: [0.039, 0.047, -0.166]  (mse: 0.000009)
[-0.011, -0.009, 0.168, 83.541, -8.327, -177.094]   ===>   [0.047, 0.046, -0.168],  actual: [0.047, 0.046, -0.167]  (mse: 0.000001)
[0.019, -0.029, 0.189, -5.681, 2.998, -170.495]   ===>   [0.017, 0.024, -0.163],  actual: [0.017, 0.024, -0.165]  (mse: 0.000002)
[0.013, -0.041, 0.198, 41.545, 5.537, -153.664]   ===>   [0.025, 0.013, -0.164],  actual: [0.026, 0.013, -0.163]  (mse: 0.000001)
[0.010, -0.035, 0.192, -70.204, 16.824, -173.606]   ===>   [0.028, 0.020, -0.163],  actual: [0.029, 0.020, -0.164]  (mse: 0.000000)
[0.013, -0.042, 0.192, -21.004, 6.908, -170.633]   ===>   [0.025, 0.013, -0.163],  actual: [0.025, 0.013, -0.164]  (mse: 0.000001)
[0.016, -0.014, 0.184, -29.536, -6.169, -169.832]   ===>   [0.017, 0.040, -0.164],  actual: [0.016, 0.040, -0.164]  (mse: 0.000000)
[0.023, -0.031, 0.186, -15.689, 15.369, -166.195]   ===>   [0.014, 0.020, -0.162],  actual: [0.013, 0.021, -0.162]  (mse: 0.000002)
[-0.007, -0.018, 0.184, -6.855, -0.881, -156.513]   ===>   [0.043, 0.036, -0.168],  actual: [0.042, 0.037, -0.167]  (mse: 0.000003)
