[0.026, -0.038, 0.189, 19.379, 5.530, -156.749]   ===>   [0.012, 0.014, -0.161],  actual: [0.012, 0.013, -0.161]  (mse: 0.000001)
[-0.016, -0.026, 0.184, -59.051, 17.917, -166.063]   ===>   [0.054, 0.031, -0.168],  actual: [0.053, 0.031, -0.168]  (mse: 0.000000)
[-0.019, -0.027, 0.177, -46.049, 12.404, -153.224]   ===>   [0.057, 0.030, -0.167],  actual: [0.057, 0.031, -0.166]  (mse: 0.000000)
[-0.012, 0.008, 0.175, -36.543, -9.820, -160.409]   ===>   [0.042, 0.068, -0.166],  actual: [0.043, 0.069, -0.167]  (mse: 0.000003)
[-0.023, -0.043, 0.189, -14.329, 20.812, -153.140]   ===>   [0.062, 0.016, -0.168],  actual: [0.062, 0.016, -0.168]  (mse: 0.000000)
[0.027, -0.033, 0.192, -55.593, 1.748, -165.339]   ===>   [0.010, 0.022, -0.163],  actual: [0.009, 0.021, -0.161]  (mse: 0.000005)
[-0.015, -0.012, 0.181, 15.953, -1.144, -156.872]   ===>   [0.050, 0.045, -0.168],  actual: [0.051, 0.045, -0.167]  (mse: 0.000002)
[0.006, -0.019, 0.179, 2.919, 5.067, -156.802]   ===>   [0.028, 0.034, -0.165],  actual: [0.028, 0.034, -0.165]  (mse: 0.000001)
[-0.018, -0.026, 0.168, -47.481, 12.808, -154.173]   ===>   [0.057, 0.031, -0.167],  actual: [0.057, 0.030, -0.166]  (mse: 0.000000)
[0.011, -0.014, 0.213, 75.379, 1.317, -179.237]   ===>   [0.023, 0.042, -0.165],  actual: [0.022, 0.041, -0.165]  (mse: 0.000001)
[0.024, -0.004, 0.200, 89.000, 4.431, -170.656]   ===>   [0.009, 0.049, -0.161],  actual: [0.009, 0.048, -0.161]  (mse: 0.000000)
[-0.028, -0.044, 0.186, -76.891, 0.606, -167.539]   ===>   [0.066, 0.017, -0.168],  actual: [0.068, 0.016, -0.167]  (mse: 0.000003)
[0.015, -0.037, 0.192, -29.069, 8.992, -161.272]   ===>   [0.022, 0.018, -0.163],  actual: [0.023, 0.017, -0.163]  (mse: 0.000001)
[-0.011, -0.040, 0.183, 9.878, -4.115, -167.498]   ===>   [0.049, 0.016, -0.167],  actual: [0.048, 0.016, -0.167]  (mse: 0.000000)
[0.012, -0.022, 0.186, 76.757, 1.629, -179.759]   ===>   [0.021, 0.031, -0.165],  actual: [0.022, 0.032, -0.164]  (mse: 0.000001)
[0.008, -0.024, 0.186, -56.318, 20.686, -155.855]   ===>   [0.028, 0.031, -0.165],  actual: [0.027, 0.031, -0.164]  (mse: 0.000001)
[-0.001, 0.011, 0.174, 30.532, -6.381, -160.268]   ===>   [0.030, 0.067, -0.164],  actual: [0.030, 0.067, -0.164]  (mse: 0.000000)
[0.009, -0.030, 0.192, -8.936, 10.552, -154.578]   ===>   [0.027, 0.026, -0.164],  actual: [0.028, 0.025, -0.164]  (mse: 0.000001)
[0.009, -0.006, 0.189, -61.569, 29.666, -159.042]   ===>   [0.025, 0.048, -0.164],  actual: [0.025, 0.048, -0.165]  (mse: 0.000000)
[0.011, -0.016, 0.186, -22.935, 5.467, -158.788]   ===>   [0.022, 0.037, -0.165],  actual: [0.024, 0.037, -0.164]  (mse: 0.000004)
[0.024, -0.024, 0.186, -20.367, 8.921, -161.879]   ===>   [0.010, 0.029, -0.163],  actual: [0.011, 0.028, -0.162]  (mse: 0.000001)
[-0.027, -0.030, 0.184, -87.087, 16.457, -159.104]   ===>   [0.064, 0.029, -0.168],  actual: [0.063, 0.030, -0.169]  (mse: 0.000003)
[0.020, -0.034, 0.195, -33.056, -5.633, -166.158]   ===>   [0.015, 0.021, -0.164],  actual: [0.015, 0.020, -0.164]  (mse: 0.000000)
[0.024, -0.036, 0.186, 79.636, 4.491, -164.860]   ===>   [0.014, 0.015, -0.161],  actual: [0.014, 0.014, -0.161]  (mse: 0.000000)
[0.025, -0.038, 0.195, -56.317, 4.680, -165.106]   ===>   [0.012, 0.017, -0.162],  actual: [0.012, 0.017, -0.161]  (mse: 0.000002)
[-0.032, -0.033, 0.184, -60.749, 1.257, -152.574]   ===>   [0.068, 0.027, -0.169],  actual: [0.069, 0.027, -0.168]  (mse: 0.000001)
[0.015, 0.003, 0.186, -48.881, 21.358, -155.155]   ===>   [0.016, 0.057, -0.162],  actual: [0.017, 0.056, -0.162]  (mse: 0.000002)
