[0.011, 0.007, 0.179, 41.938, -10.383, -174.229]   ===>   [0.018, 0.063, -0.162],  actual: [0.018, 0.062, -0.161]  (mse: 0.000003)
[-0.004, 0.010, 0.181, -17.827, -7.652, -157.039]   ===>   [0.032, 0.071, -0.165],  actual: [0.034, 0.069, -0.165]  (mse: 0.000005)
[0.014, -0.043, 0.195, 47.904, 10.424, -165.015]   ===>   [0.024, 0.012, -0.165],  actual: [0.024, 0.012, -0.164]  (mse: 0.000001)
[0.020, -0.041, 0.201, 17.260, 6.412, -155.581]   ===>   [0.018, 0.014, -0.163],  actual: [0.017, 0.013, -0.164]  (mse: 0.000002)
[-0.002, -0.040, 0.187, -0.942, 7.719, -167.916]   ===>   [0.042, 0.016, -0.166],  actual: [0.040, 0.016, -0.166]  (mse: 0.000003)
[0.025, -0.044, 0.201, -5.135, 17.298, -159.596]   ===>   [0.016, 0.011, -0.162],  actual: [0.014, 0.011, -0.161]  (mse: 0.000004)
[-0.033, -0.008, 0.189, -35.012, 14.976, -165.259]   ===>   [0.068, 0.052, -0.171],  actual: [0.069, 0.053, -0.169]  (mse: 0.000003)
[0.026, -0.035, 0.189, 53.355, -6.732, -168.252]   ===>   [0.012, 0.016, -0.163],  actual: [0.011, 0.016, -0.161]  (mse: 0.000003)
[0.014, -0.042, 0.195, -47.408, 7.840, -160.074]   ===>   [0.023, 0.015, -0.163],  actual: [0.023, 0.014, -0.162]  (mse: 0.000001)
[-0.030, -0.040, 0.184, -41.987, 8.050, -153.148]   ===>   [0.069, 0.020, -0.169],  actual: [0.068, 0.020, -0.170]  (mse: 0.000001)
[0.021, -0.041, 0.195, -30.306, 5.060, -170.510]   ===>   [0.018, 0.015, -0.162],  actual: [0.017, 0.013, -0.165]  (mse: 0.000007)
[-0.008, -0.026, 0.174, -74.544, 1.696, -166.382]   ===>   [0.046, 0.028, -0.166],  actual: [0.045, 0.029, -0.167]  (mse: 0.000004)
[-0.031, -0.034, 0.186, -60.245, 7.552, -162.549]   ===>   [0.070, 0.027, -0.170],  actual: [0.069, 0.027, -0.168]  (mse: 0.000005)
[-0.008, -0.038, 0.184, 18.634, -1.194, -168.355]   ===>   [0.045, 0.017, -0.167],  actual: [0.046, 0.017, -0.167]  (mse: 0.000000)
[0.015, -0.026, 0.192, -33.717, 20.546, -161.312]   ===>   [0.022, 0.029, -0.164],  actual: [0.022, 0.028, -0.165]  (mse: 0.000000)
[-0.011, -0.009, 0.168, 83.541, -8.327, -177.094]   ===>   [0.046, 0.046, -0.168],  actual: [0.047, 0.046, -0.167]  (mse: 0.000003)
[0.026, -0.038, 0.192, 79.999, 4.238, -168.982]   ===>   [0.013, 0.013, -0.162],  actual: [0.012, 0.014, -0.161]  (mse: 0.000003)
[0.001, -0.041, 0.195, -22.810, -5.378, -167.882]   ===>   [0.036, 0.017, -0.166],  actual: [0.035, 0.017, -0.167]  (mse: 0.000003)
[-0.013, 0.008, 0.183, -38.977, -12.718, -165.336]   ===>   [0.041, 0.072, -0.164],  actual: [0.043, 0.069, -0.167]  (mse: 0.000021)
[0.013, -0.043, 0.195, -4.073, -10.589, -169.128]   ===>   [0.026, 0.013, -0.164],  actual: [0.024, 0.013, -0.163]  (mse: 0.000003)
[-0.008, -0.002, 0.179, 29.959, -9.088, -167.880]   ===>   [0.039, 0.056, -0.165],  actual: [0.039, 0.055, -0.165]  (mse: 0.000002)
[0.010, -0.034, 0.192, -70.693, -3.221, -161.312]   ===>   [0.026, 0.022, -0.164],  actual: [0.025, 0.023, -0.163]  (mse: 0.000003)
[0.003, -0.043, 0.195, 75.381, 5.090, -176.326]   ===>   [0.035, 0.014, -0.167],  actual: [0.034, 0.013, -0.166]  (mse: 0.000000)
[0.012, -0.022, 0.189, 40.729, -5.075, -170.952]   ===>   [0.022, 0.032, -0.164],  actual: [0.022, 0.032, -0.164]  (mse: 0.000001)
[0.016, 0.014, 0.186, 11.888, -13.459, -158.841]   ===>   [0.012, 0.070, -0.161],  actual: [0.013, 0.068, -0.159]  (mse: 0.000006)
[0.023, 0.013, 0.192, -54.166, 10.789, -155.675]   ===>   [0.008, 0.067, -0.163],  actual: [0.007, 0.066, -0.159]  (mse: 0.000016)
[0.023, -0.012, 0.189, -66.954, 11.557, -169.370]   ===>   [0.009, 0.042, -0.163],  actual: [0.010, 0.041, -0.163]  (mse: 0.000002)
[-0.029, -0.045, 0.184, 9.623, -1.698, -167.318]   ===>   [0.067, 0.015, -0.169],  actual: [0.067, 0.015, -0.167]  (mse: 0.000003)
[-0.030, -0.034, 0.189, 63.374, -4.065, -167.279]   ===>   [0.068, 0.026, -0.168],  actual: [0.068, 0.024, -0.168]  (mse: 0.000003)
[0.007, -0.016, 0.184, -0.204, -10.845, -153.743]   ===>   [0.027, 0.037, -0.164],  actual: [0.027, 0.037, -0.165]  (mse: 0.000001)
[-0.024, -0.045, 0.187, -82.404, 13.437, -163.715]   ===>   [0.063, 0.016, -0.169],  actual: [0.064, 0.015, -0.167]  (mse: 0.000007)
[0.011, -0.013, 0.186, -52.813, 18.598, -165.125]   ===>   [0.023, 0.042, -0.165],  actual: [0.024, 0.040, -0.165]  (mse: 0.000002)
[0.002, -0.018, 0.203, -32.114, -5.518, -165.074]   ===>   [0.031, 0.042, -0.165],  actual: [0.031, 0.039, -0.165]  (mse: 0.000010)
[0.023, -0.038, 0.174, -47.852, 7.570, -157.721]   ===>   [0.012, 0.013, -0.162],  actual: [0.011, 0.012, -0.160]  (mse: 0.000003)
[0.011, -0.042, 0.192, 77.509, 0.392, -178.922]   ===>   [0.026, 0.011, -0.164],  actual: [0.026, 0.013, -0.164]  (mse: 0.000003)
[0.005, -0.017, 0.189, -26.202, 13.139, -157.099]   ===>   [0.030, 0.039, -0.166],  actual: [0.030, 0.038, -0.165]  (mse: 0.000002)
[-0.000, -0.041, 0.195, -26.327, 8.961, -159.449]   ===>   [0.038, 0.017, -0.166],  actual: [0.037, 0.017, -0.167]  (mse: 0.000003)
[-0.013, 0.001, 0.167, -10.950, 2.927, -152.103]   ===>   [0.049, 0.057, -0.166],  actual: [0.049, 0.059, -0.166]  (mse: 0.000003)
[-0.010, -0.040, 0.186, -75.106, 0.922, -156.712]   ===>   [0.047, 0.017, -0.166],  actual: [0.047, 0.018, -0.168]  (mse: 0.000001)
[0.019, -0.001, 0.187, -23.825, -7.704, -156.780]   ===>   [0.012, 0.054, -0.161],  actual: [0.010, 0.054, -0.160]  (mse: 0.000003)
[-0.026, 0.015, 0.192, -76.726, 22.239, -171.758]   ===>   [0.059, 0.073, -0.167],  actual: [0.059, 0.073, -0.167]  (mse: 0.000001)
[-0.011, -0.042, 0.186, -61.005, -10.372, -169.020]   ===>   [0.048, 0.016, -0.167],  actual: [0.048, 0.016, -0.167]  (mse: 0.000001)
[-0.026, -0.039, 0.184, 33.019, -6.320, -168.638]   ===>   [0.064, 0.019, -0.168],  actual: [0.063, 0.019, -0.170]  (mse: 0.000004)
[0.017, -0.041, 0.192, 43.075, -12.159, -178.531]   ===>   [0.021, 0.014, -0.163],  actual: [0.020, 0.013, -0.162]  (mse: 0.000003)
[0.018, -0.036, 0.195, -27.620, -7.322, -178.285]   ===>   [0.019, 0.020, -0.164],  actual: [0.019, 0.021, -0.162]  (mse: 0.000002)
[0.025, -0.027, 0.189, -45.170, -9.300, -165.579]   ===>   [0.011, 0.026, -0.162],  actual: [0.010, 0.027, -0.162]  (mse: 0.000002)
